SCRIP, LDCP, OPEN, HIGH, LOW, CURRENT, CHANGE, VOLUME, 
Trust Securities & Brokerage. , 10.01, 10.00, 10.5, 10, 10.50,   .49, 6 000, 
Orix Leasing Pakistan Ltd. , 26.00, 26.29, 26.3, 26.1, 26.30,   .3, 10 500, 
Pak Gulf Leasing Co Ltd. , 12.89, 13.85, 13.85, 13.85, 13.85,   .96, 500, 
Saudi Pak Leasing Co. [ DEFAULTER SEGMENT ], 0.60, 0.56, .56, .56, 0.56,   -.04, 500, 
Bata Pakistan Ltd. , 1 339.87, 1340.50, 1440.36, 1340, 1426.69,   86.82, 15 980, 
Leather Up Ltd. , 12.02, 12.00, 12.5, 12, 12.50,   .48, 4 500, 
Service Industries.(XDXB) , 666.35, 674.00, 692, 670, 680.04,   13.69, 11 200, 
Arpak International Investment. , 120.00, 120.50, 120.5, 120.5, 120.50,   .5, 2 500, 
ECOPAK Limited. , 21.59, 21.77, 21.77, 20.56, 20.71,   -.88, 36 500, 
Gammon Pak. [ DEFAULTER SEGMENT ], 18.50, 17.26, 18, 17.12, 17.12,   -1.38, 58 000, 
MACPAC Films Limited. , 21.99, 21.11, 21.75, 21.11, 21.16,   -.83, 14 000, 
Olympia Mills Limited. [ DEFAULTER SEGMENT ], 11.00, 10.00, 10.5, 10, 10.50,   -.5, 16 500, 
Pace (Pakistan) Ltd. , 2.35, 2.30, 2.36, 2.29, 2.32,   -.03, 141 000, 
Pakistan Hotels Developers Ltd. , 94.03, 94.25, 94.25, 94.25, 94.25,   .22, 1 000, 
Shifa Int. Hospital Ltd. , 279.00, 275.11, 282.5, 275, 275.58,   -3.42, 112 200, 
Siddiqsons Tin Plate Ltd. , 10.12, 10.25, 10.61, 10.15, 10.40,   .28, 3 762 500, 
Synthetic Products Enterprises Ltd. , 43.40, 43.80, 44.25, 43, 43.49,   .09, 82 500, 
TPL Properties Limited. , 5.58, 5.60, 6.25, 5.5, 5.95,   .37, 997 500, 
Tri-Pack Films Ltd. , 96.51, 95.52, 98, 95.5, 97.82,   1.31, 26 500, 
United Brands Limited. , 27.48, 27.00, 27.89, 27, 27.06,   -.42, 6 000, 
United Distributors Pakistan. , 35.50, 37.00, 38, 37, 37.02,   1.52, 6 500, 
First Elite Capital Mod. , 2.39, 2.35, 2.35, 2, 2,   -.39, 1 000, 
First Equity Mod. , 3.25, 3.05, 3.05, 3.05, 3.05,   -.2, 5 000, 
First Habib Mod. , 10.05, 10.05, 10.1, 10.04, 10.10,   .05, 31 500, 
First Prudential Mod. , 0.91, 0.86, .92, .86, 0.92,   .01, 3 000, 
First Treet Manufacturing Modaraba. , 11.20, 12.05, 12.2, 12.05, 12.20,   1, 46 000, 
First Tri-Star Mod. , 7.50, 6.50, 6.5, 6.5, 6.50,   -1, 500, 
First UDL Mod. , 7.87, 8.00, 8, 7.65, 7.80,   -.07, 17 500, 
Modarba Al-Mali. , 2.60, 2.75, 2.75, 2.74, 2.74,   .14, 10 000, 
Orient rental Modaraba. , 6.50, 6.55, 7, 6.55, 7,   .5, 2 500, 
Orix Modaraba. , 18.60, 18.30, 18.3, 18.2, 18.25,   -.35, 2 000, 
Popular Islamic Madaraba , 3.30, 3.50, 3.5, 3.5, 3.50,   .2, 1 000, 
Sindh Modaraba. , 9.24, 9.24, 9.24, 8.95, 8.95,   -.29, 6 500, 
Unicap Modaraba. [ DEFAULTER SEGMENT ], 0.60, 0.59, .59, .58, 0.58,   -.02, 1 000, 
Mari Petroleum Company Ltd. , 1 293.69, 1299.97, 1302, 1284, 1285.77,   -7.92, 30 100, 
Oil & Gas Development Company Ltd. , 115.32, 117.00, 117.1, 114.9, 115.10,   -.22, 3 097 319, 
Pakistan Oilfields Limited. , 385.50, 389.00, 394, 385.5, 388.92,   3.42, 787 398, 
Pakistan Petroleum Limited. , 96.61, 98.25, 98.65, 97.2, 97.65,   1.04, 17 338 911, 
Attock Petroleum Limited. , 313.01, 313.00, 315, 312, 312.16,   -.85, 7 800, 
Hascol Petroleum Ltd. , 14.35, 14.50, 14.6, 14.25, 14.30,   -.05, 6 239 000, 
Hi-Tech Lubricants Limited. , 37.93, 38.10, 39.32, 36.7, 37.06,   -.87, 1 323 000, 
Pakistan State Oil Co Ltd. , 169.77, 170.75, 171.6, 168, 168.88,   -.89, 801 624, 
Shell Pakistan Ltd. , 190.04, 192.00, 197.33, 190, 190.77,   .73, 365 100, 
Sui Northern Gas Pipe Line Ltd. , 59.68, 58.05, 58.25, 56.3, 56.63,   -3.05, 8 479 000, 
Sui Southern Gas Co Ltd. , 15.10, 14.84, 15, 14.12, 14.34,   -.76, 3 943 000, 
Baluchistan Particle Board Ltd [ DEFAULTER SEGMENT ], 10.00, 11.00, 11, 11, 11,   1, 1 500, 
Century Paper & Board Mills. , 74.01, 73.90, 78, 73.15, 76.12,   2.11, 552 000, 
Cherat Packaging Limited. , 128.14, 129.50, 133, 128, 130.28,   2.14, 212 200, 
Merit Packaging Ltd. , 13.11, 13.34, 13.85, 13.05, 13.54,   .43, 1 824 000, 
Packages Ltd. , 372.94, 372.50, 378, 371, 372.23,   -.71, 15 000, 
Pakistan Paper Products Ltd. , 80.50, 80.50, 81, 80.49, 80.49,   -.01, 3 000, 
Roshan Packages Limited. , 25.07, 25.02, 25.49, 24.85, 25.02,   -.05, 553 500, 
Security Papers Ltd. , 143.87, 146.00, 147, 143.8, 146,   2.13, 11 500, 
Abbott Laboratories Pak Ltd. , 609.91, 605.01, 610, 601.12, 605,   -4.91, 12 900, 
AGP Limited. , 115.85, 116.50, 117.89, 114.5, 114.93,   -.92, 503 500, 
Ferozsons Laboratories Ltd. , 348.47, 355.00, 357.4, 345.01, 346.44,   -2.03, 655 400, 
Glaxo SmithKline Healthcare Pak Ltd. , 310.39, 312.00, 325.57, 311.98, 320.06,   9.67, 107 400, 
Glaxo SmithKline Pakistan Ltd. , 187.80, 188.50, 189.77, 186.3, 187.16,   -.64, 254 900, 
Highnoon Laboratories Ltd. , 559.69, 560.00, 570, 560, 560.74,   1.05, 21 500, 
IBL HealthCare Limited. , 84.87, 85.11, 85.12, 84, 84,   -.87, 71 500, 
Sanofi-Aventis Pakistan Ltd. , 872.30, 872.00, 872.3, 868, 868,   -4.3, 300, 
The Searle Company Ltd. , 223.86, 224.50, 225.99, 221, 221.60,   -2.26, 890 500, 
Wyeth Pakistan Limited. , 939.00, 939.00, 939, 939, 939,   0, 50, 
Arshad Energy Limited. , 5.99, 6.00, 6, 5.9, 5.90,   -.09, 1 000, 
Engro Powergen Qadirpur Ltd. , 22.15, 22.10, 22.48, 22.1, 22.25,   .1, 5 500, 
Hub Power Company Limited. , 71.55, 71.55, 72.6, 71.55, 72.16,   .61, 1 483 206, 
K-Electric Limited. , 3.39, 3.41, 3.43, 3.26, 3.27,   -.12, 5 554 500, 
Kohinoor Energy Ltd. , 35.90, 33.35, 35.9, 33.21, 33.48,   -2.42, 10 500, 
Kohinoor Power Co Ltd. [ DEFAULTER SEGMENT ], 1.97, 1.66, 1.88, 1.66, 1.87,   -.1, 8 000, 
Kot Addu Power Company. , 21.14, 21.15, 21.25, 20.95, 21.03,   -.11, 2 062 500, 
LALPIR Power Limited. , 12.00, 12.20, 12.2, 11.86, 11.90,   -.1, 966 000, 
Nishat Chunian Power Ltd. , 14.33, 14.16, 14.5, 14.16, 14.21,   -.12, 221 500, 
Nishat Power Limited. , 22.51, 22.30, 22.3, 22.07, 22.09,   -.42, 16 500, 
Pakgen Power Limited. , 14.68, 14.20, 15, 14.2, 14.92,   .24, 851 500, 
Saif Power Ltd. , 16.47, 16.50, 16.59, 16.19, 16.25,   -.22, 53 000, 
Tri -Star Power Ltd. , 3.07, 2.89, 3.12, 2.87, 3.07,   0, 26 500, 
Attock Refinery Limited. , 106.53, 107.80, 108, 104.82, 105.44,   -1.09, 1 913 000, 
BYCO Petroleum Pak Ltd. , 6.40, 6.45, 6.56, 6.3, 6.34,   -.06, 1 287 000, 
National Refinary Ltd. , 126.93, 126.50, 130.99, 126, 128.17,   1.24, 427 500, 
Pakistan Refinery Ltd. , 12.55, 12.55, 12.6, 12.22, 12.28,   -.27, 631 000, 
Abdullah Shaha Ghazi Suger Mills Ltd. , 2.41, 2.26, 2.43, 2.24, 2.43,   .02, 12 000, 
Adam Sugar Mills Limited. [ DEFAULTER SEGMENT ], 18.15, 18.00, 18.89, 17.5, 18.89,   .74, 6 000, 
Al-Abbas Sugar Mills Ltd. , 256.89, 256.89, 256.89, 256.89, 256.89,   0, 200, 
Al-Noor Sugar Mills Ltd. , 51.00, 0.0, 51, 51, 51,   0, 12 000, 
Baba Faried Sugar Mills Ltd. , 41.11, 38.07, 38.11, 38.07, 38.11,   -3, 1 500, 
Habib Sugar Mills Ltd. , 32.54, 32.25, 32.25, 31.76, 31.99,   -.55, 213 000, 
Husein Sugar Mills Limited. , 15.00, 15.10, 15.1, 14.9, 15,   0, 5 000, 
Imperial Sugar Limited. [ DEFAULTER SEGMENT ], 19.32, 19.00, 19.5, 18.31, 18.54,   -.78, 37 000, 
J. D. W. Sugar Mills Ltd. , 239.00, 237.00, 239, 237, 239,   0, 100, 
Khairpur Sugar Mills Ltd. , 109.89, 103.00, 103, 101.66, 101.66,   -8.23, 1 500, 
Mehran Sugar Mills Ltd. , 59.90, 60.90, 60.9, 58.12, 58.41,   -1.49, 6 500, 
Mirpurkhas Sugar Mills Ltd. , 64.00, 61.05, 61.05, 61.05, 61.05,   -2.95, 1 000, 
Noon Sugar Mills Ltd. , 52.60, 52.00, 54, 51, 52.03,   -.57, 5 000, 
Premier Sugar Mills & Distille , 541.12, 501.00, 505, 500.54, 500.54,   -40.58, 700, 
Sakrand Sugar Mills Ltd. , 9.72, 9.70, 9.8, 9.4, 9.44,   -.28, 343 500, 
Sanghar Sugar Mills Ltd. , 20.22, 18.71, 18.71, 18.71, 18.71,   -1.51, 500, 
Shahmurad Sugar Mills Ltd. , 102.60, 102.99, 103, 102.99, 103,   .4, 1 000, 
Tandliawala Sugar Mills Ltd. , 172.99, 185.00, 185, 185, 185,   12.01, 500, 
Pakistan Synthentics Ltd. , 17.50, 17.02, 17.8, 16.61, 17.80,   .3, 5 000, 
Tri-Star Polyester Ltd. , 7.81, 7.75, 7.98, 7.6, 7.82,   .01, 778 000, 
Avanceon Limited. , 48.67, 49.00, 50.25, 48.53, 49.27,   .6, 3 073 000, 
Hum Network Limited. , 11.17, 11.35, 11.45, 10.75, 10.86,   -.31, 2 663 000, 
