,Date,Compound,Negative,Neutral,Positive
250,2019-09-11,0.9451,0.021,0.85,0.129
251,2019-09-12,0.874,0.066,0.813,0.121
252,2019-09-13,-0.8003,0.124,0.794,0.083
253,2019-09-14,0.8779,0.117,0.698,0.185
254,2019-09-15,-0.9033,0.131,0.835,0.034
255,2019-09-16,-0.8622,0.114,0.799,0.087
256,2019-09-17,0.9782,0.044,0.814,0.142
257,2019-09-18,0.3071,0.078,0.852,0.07
258,2019-09-19,0.8466,0.058,0.848,0.094
259,2019-09-20,-0.2869,0.08,0.847,0.073
260,2019-09-21,0.8555,0.069,0.802,0.128
261,2019-09-22,0.8591,0.084,0.753,0.163
262,2019-09-23,-0.8171,0.109,0.803,0.088
263,2019-09-24,0.9186,0.085,0.791,0.123
264,2019-09-25,-0.6298,0.071,0.861,0.067
265,2019-09-26,0.9003,0.112,0.736,0.152
266,2019-09-27,0.6848,0.053,0.867,0.08
267,2019-09-28,0.8255,0.087,0.766,0.146
268,2019-09-29,-0.6878,0.119,0.778,0.103
269,2019-09-30,-0.8268,0.149,0.737,0.114
270,2019-10-01,-0.8146,0.098,0.843,0.059
271,2019-10-02,0.9468,0.075,0.793,0.132
272,2019-10-03,0.6759,0.065,0.844,0.091
273,2019-10-04,-0.8924,0.155,0.722,0.123
274,2019-10-05,0.8773,0.066,0.827,0.108
275,2019-10-06,0.947,0.054,0.755,0.191
276,2019-10-07,0.9769,0.064,0.792,0.144
277,2019-10-08,0.9226,0.059,0.838,0.104
278,2019-10-09,0.9657,0.022,0.865,0.113
279,2019-10-10,-0.9171,0.102,0.849,0.049
280,2019-10-11,0.3326,0.074,0.845,0.081
281,2019-10-12,0.9306,0.084,0.766,0.15
282,2019-10-13,0.9382,0.025,0.759,0.215
283,2019-10-14,0.4642,0.072,0.848,0.079
284,2019-10-15,-0.9011,0.097,0.841,0.062
285,2019-10-16,-0.8807,0.143,0.77,0.087
286,2019-10-17,-0.97,0.167,0.757,0.076
287,2019-10-18,-0.2869,0.063,0.869,0.068
288,2019-10-19,0.631,0.055,0.857,0.088
289,2019-10-20,-0.4019,0.065,0.869,0.066
290,2019-10-21,-0.3204,0.131,0.743,0.126
291,2019-10-22,-0.1813,0.059,0.891,0.051
292,2019-10-23,0.7041,0.078,0.808,0.115
293,2019-10-24,0.9714,0.066,0.786,0.148
294,2019-10-25,0.8385,0.077,0.813,0.11
295,2019-10-26,0.8992,0.086,0.76,0.154
296,2019-10-27,0.9754,0.045,0.771,0.184
297,2019-10-28,0.264,0.082,0.822,0.096
298,2019-10-29,-0.8708,0.082,0.867,0.051
299,2019-10-30,-0.6922,0.125,0.773,0.103
300,2019-10-31,0.9081,0.066,0.824,0.11
301,2019-11-01,0.8519,0.04,0.873,0.086
302,2019-11-02,0.8674,0.026,0.893,0.082
303,2019-11-03,0.9846,0.013,0.828,0.16
304,2019-11-04,0.9365,0.063,0.807,0.13
305,2019-11-05,0.504,0.051,0.871,0.078
306,2019-11-06,0.5154,0.082,0.811,0.106
307,2019-11-07,0.8067,0.122,0.72,0.158
308,2019-11-08,-0.128,0.071,0.856,0.073
309,2019-11-09,0.6767,0.064,0.846,0.09
310,2019-11-10,0.7476,0.052,0.847,0.101
311,2019-11-11,-0.765,0.123,0.823,0.054
312,2019-11-12,0.9313,0.014,0.877,0.11
313,2019-11-13,-0.3182,0.103,0.79,0.107
314,2019-11-14,-0.7003,0.087,0.867,0.046
315,2019-11-15,-0.128,0.097,0.818,0.085
316,2019-11-16,-0.2263,0.09,0.819,0.091
317,2019-11-17,-0.8625,0.094,0.867,0.039
318,2019-11-18,-0.1381,0.092,0.832,0.075
319,2019-11-19,0.9461,0.037,0.845,0.119
320,2019-11-20,-0.8477,0.112,0.804,0.084
321,2019-11-21,0.0,0.074,0.847,0.079
322,2019-11-22,0.9901,0.032,0.808,0.16
323,2019-11-23,0.9664,0.053,0.777,0.17
324,2019-11-24,0.9752,0.026,0.791,0.183
325,2019-11-25,0.9068,0.023,0.879,0.099
326,2019-11-26,0.9717,0.043,0.818,0.139
327,2019-11-27,0.9834,0.037,0.779,0.184
328,2019-11-28,0.8924,0.061,0.825,0.114
329,2019-11-29,0.9721,0.011,0.842,0.147
330,2019-11-30,0.9468,0.052,0.797,0.151
331,2019-12-01,0.8922,0.03,0.846,0.123
